scene,rater1,rater2,rater3,rater4,rater5,mean,variance,,,,,
farm_building                ,4,3,3,3,3,3.2,0.2,,,,,
farmhouse                    ,4,3,3,3,3,3.2,0.2,,,,,
flight_of_stairs/urban       ,4,3,3,3,3,3.2,0.2,,,,,
florist_shop/indoor          ,4,3,3,3,3,3.2,0.2,,,,,
florist_shop/outdoor         ,4,3,3,3,3,3.2,0.2,,,,,
flowerbed                    ,4,3,3,3,3,3.2,0.2,,,,,
foothill                     ,4,3,3,3,3,3.2,0.2,,,,,
greengrocery                 ,4,3,3,3,3,3.2,0.2,,,,,
heath                        ,4,3,3,3,3,3.2,0.2,,,,,
hedgerow                     ,4,3,3,3,3,3.2,0.2,,,,,
housing_estate               ,4,3,3,3,3,3.2,0.2,,,,,
housing_project              ,4,3,3,3,3,3.2,0.2,,,,,
japanese_garden              ,4,3,3,3,3,3.2,0.2,,,,,
mesa                         ,4,3,3,3,3,3.2,0.2,,,,,
mobile_home                  ,4,3,3,3,3,3.2,0.2,,,,,
newsstand/outdoor            ,4,3,3,3,3,3.2,0.2,,,,,
orchard                      ,4,3,3,3,3,3.2,0.2,,,,,
piano_store                  ,4,3,3,3,3,3.2,0.2,,,,,
pueblo                       ,4,3,3,3,3,3.2,0.2,,,,,
riding_arena                 ,4,3,3,3,3,3.2,0.2,,,,,
stage/indoor                 ,4,3,3,3,3,3.2,0.2,,,,,
stage/outdoor                ,4,3,3,3,3,3.2,0.2,,,,,
staircase                    ,4,3,3,3,3,3.2,0.2,,,,,
teashop                      ,4,3,3,3,3,3.2,0.2,,,,,
ticket_window/indoor         ,4,3,3,3,3,3.2,0.2,,,,,
ticket_window/outdoor        ,4,3,3,3,3,3.2,0.2,,,,,
town_house                   ,4,3,3,3,3,3.2,0.2,,,,,
window_seat                  ,4,3,3,3,3,3.2,0.2,,,,,
dining_area                  ,3,3,3,4,3,3.2,0.2,,,,,
doorway/indoor               ,3,3,3,4,3,3.2,0.2,,,,,
doorway/outdoor              ,3,3,3,4,3,3.2,0.2,,,,,
escalator/indoor             ,3,3,3,4,3,3.2,0.2,,,,,
escalator/outdoor            ,3,3,3,4,3,3.2,0.2,,,,,
fishpond                     ,3,3,4,3,3,3.2,0.2,,,,,
strip_mall                   ,3,3,3,4,3,3.2,0.2,,,,,
acropolis                    ,3,4,2,3,4,3.2,0.7,,,,,
arena/rodeo                  ,2,4,3,3,4,3.2,0.7,,,,,
awning_deck                  ,4,3,2,4,3,3.2,0.7,,,,,
basement                     ,4,3,3,4,2,3.2,0.7,,,,,
batting_cage/outdoor         ,3,2,3,4,4,3.2,0.7,,,,,
bazaar/indoor                ,4,4,3,2,3,3.2,0.7,,,,,
hardware_store               ,3,4,3,2,4,3.2,0.7,,,,,
mountain_snowy               ,3,4,3,2,4,3.2,0.7,,,,,
sidewalk                     ,4,3,3,4,2,3.2,0.7,,,,,
snowbank                     ,3,2,3,4,4,3.2,0.7,,,,,
subway_station/corridor      ,3,4,3,2,4,3.2,0.7,,,,,
track/indoor                 ,3,4,3,2,4,3.2,0.7,,,,,
track/outdoor                ,3,4,3,2,4,3.2,0.7,,,,,
arbor                        ,5,3,2,3,3,3.2,1.2,,,,,
cabin/indoor                 ,5,3,3,2,3,3.2,1.2,,,,,
cabin/outdoor                ,5,3,3,2,3,3.2,1.2,,,,,
convenience_store/indoor     ,4,4,2,2,4,3.2,1.2,,,,,
convenience_store/outdoor    ,4,4,2,2,4,3.2,1.2,,,,,
inn/indoor                   ,5,3,3,2,3,3.2,1.2,,,,,
inn/outdoor                  ,5,3,3,2,3,3.2,1.2,,,,,
lake/artificial              ,5,3,3,2,3,3.2,1.2,,,,,
manufactured_home            ,5,2,3,3,3,3.2,1.2,,,,,
meadow                       ,5,3,3,2,3,3.2,1.2,,,,,
pavilion                     ,5,3,3,2,3,3.2,1.2,,,,,
t-bar_lift                   ,4,4,2,2,4,3.2,1.2,,,,,
badminton_court/outdoor      ,5,4,3,2,2,3.2,1.7,,,,,
youth_hostel                 ,3,4,4,1,4,3.2,1.7,,,,,
baggage_claim                ,5,4,3,3,1,3.2,2.2,,,,,
crawl_space                  ,2,5,2,2,5,3.2,2.7,,,,,
party_tent/indoor            ,5,4,2,1,4,3.2,2.7,,,,,
party_tent/outdoor           ,5,4,2,1,4,3.2,2.7,,,,,
bubble_chamber               ,2,5,3,1,5,3.2,3.2,,,,,
archipelago                  ,3,3,3,3,3,3,0,,,,,
balcony/exterior             ,3,3,3,3,3,3,0,,,,,
building_facade              ,3,3,3,3,3,3,0,,,,,
computer_room                ,3,3,3,3,3,3,0,,,,,
corridor                     ,3,3,3,3,3,3,0,,,,,
country_road                 ,3,3,3,3,3,3,0,,,,,
elevator/door                ,3,3,3,3,3,3,0,,,,,
elevator/exterior            ,3,3,3,3,3,3,0,,,,,
exhibition_hall              ,3,3,3,3,3,3,0,,,,,
ferryboat/indoor             ,3,3,3,3,3,3,0,,,,,
fishmarket                   ,3,3,3,3,3,3,0,,,,,
front_porch                  ,3,3,3,3,3,3,0,,,,,
garage/indoor                ,3,3,3,3,3,3,0,,,,,
garage/outdoor               ,3,3,3,3,3,3,0,,,,,
